"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV12_Int"
"﻿012","000","001",,,,"Ungereinigt",,,,,,"19990330",1
"012","000","002",,,,"Gereinigt",,,,,,"19990330",2
"012","000","003",,,,"Zerkleinert",,,,,,"19990330",3
"012","000","004",,,,"Gebrochen",,,,,,"19990330",4
"012","000","005",,,,"Gemahlen/geschrotet",,,,,,"19990330",5
"012","000","006",,,,"Ungeschält",,,,,,"19990330",6
"012","000","007",,,,"Geschält/geschabt",,,,,,"19990330",7
"012","000","008",,,,"Entsteint/entstielt",,,,,,"19990330",8
"012","000","009",,,,"Gewaschen",,,,,,"19990330",9
"012","000","010",,,,"Filetiert",,,,,,"19990330",10
"012","000","011",,,,"Filtriert",,,,,,"19990330",11
"012","000","012",,,,"Extrahiert",,,,,,"19990330",12
"012","000","013",,,,"Konzentriert",,,,,,"19990330",13
"012","000","014",,,,"Affiniert/raffiniert",,,,,,"19990330",14
"012","000","015",,,,"Entfärbt/gebleicht",,,,,,"19990330",15
"012","000","016",,,,"Verdünnt",,,,,,"19990330",16
"012","000","017",,,,"Gegoren/fermentiert",,,,,,"19990330",17
"012","000","018",,,,"Sterilisiert",,,,,,"19990330",18
"012","000","019",,,,"Erhitzt/hitzebehandelt",,,,,,"19990330",19
"012","000","020",,,,"Thermisch gegart",,,,,,"19990330",20
"012","000","021",,,,"Konserviert",,,,,,"19990330",21
"012","000","022",,,,"Extrudiert",,,,,,"19990330",22
"012","000","023",,,,"Tiefgekühlt/tiefgefroren",,,,,,"19990330",23
"012","000","024",,,,"Getrocknet",,,,,,"19990330",24
"012","000","025",,,,"Begast",,,,,,"19990330",25
"012","000","026",,,,"Gepökelt/gesalzen",,,,,,"19990330",26
"012","000","027",,,,"Geräuchert",,,,,,"19990330",27
"012","000","028",,,,"Eingelegt/mariniert/mazeriert",,,,,,"19990330",28
"012","000","029",,,,"Gefriergetrocknet",,,,,,"19990330",29
"012","000","030",,,,"Destilliert",,,,,,"19990330",30
"012","000","031",,,,"Bestrahlt",,,,,,"19990330",31
"012","000","032",,,,"Geschleudert/gepresst",,,,,,"20041201",32
"012","000","033",,,,"Schale/Rinde/Kruste behandelt",,,,,,"20041201",33
"012","000","034",,,,"Schale/Rinde/Kruste unbehandelt",,,,,,"20041201",34
"012","000","035",,,,"Aus Konzentrat hergestellt",,,,,,"19990330",35
"012","000","036",,,,"Küchenfertig vor-/zubereitet",,,,,,"20041201",36
"012","000","037",,,,"Verzehrsfähig vor-/zubereitet",,,,,,"20041201",37
"012","000","038",,,,"Verzehrsfertig/tischfertig vor-/zubereitet",,,,,,"20041201",38
"012","000","039",,,,"Unbehandelt",,,,,,"19990330",39
"012","000","040",,,,"Unverarbeitet/roh",,,,,,"20031030",40
"012","000","041",,,,"Homogenisiert",,,,,,"20021204",41
"012","000","042",,,,"Geröstet",,,,,,"20051207",42
"012","000","043",,,,"Nassgepökelt",,,,,,"20061117",43
"012","000","044",,,,"Trockengepökelt",,,,,,"20061117",44
"012","000","045",,,,"Heißgeräuchert",,,,,,"20070529",45
"012","000","046",,,,"Kaltgeräuchert",,,,,,"20070529",46
"012","000","047",,,,"Aufgeschnitten",,,,,,"20071127",47
"012","000","048",,,,"Nicht homogenisiert",,,,,,"20071127",48
"012","000","049",,,,"Nicht aus Konzentrat hergestellt",,,,,,"20071127",49
"012","000","050",,,,"Gekühlt",,,,,,"20071127",50
"012","000","051",,,,"Mit Haut",,,,,,"20071127",51
"012","000","052",,,,"Ohne Haut",,,,,,"20071127",52
"012","000","053",,,,"Gereift mit Schimmelkulturen",,,,,,"20081202",53
"012","000","054",,,,"Gegrillt",,,,,,"20110524",54
"012","000","055",,,,"Klar",,,,,,"20130101",55
"012","000","056",,,,"Trüb",,,,,,"20130101",56
"012","000","057",,,,"kalt aufgeschäumt",,,,,,"20150101",57
"012","000","058",,,,"heiß aufgeschäumt",,,,,,"20150101",58
"012","000","059",,,,"Gefärbt",,,,,,"20160101",59
"012","000","060",,,,"Ungefärbt",,,,,,"20160101",60
"012","000","061",,,,"Haltbargemacht mittels Hochdrucktechnologie",,,,,,"20180101",61
"012","000","801",,,,"Unbeschichtet",,,,,,"20071127",801
"012","000","802",,,,"Beschichtet",,,,,,"20071127",802
"012","000","803",,,,"Bedruckt",,,,,,"20130101",803
"012","000","804",,,,"Nicht bedruckt",,,,,,"20130101",804
"012","000","999",,,,"Keine Angabe",,,,,,"19990330",999
