"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV16_Int"
"﻿016","000","0100000",,,,"Sensorik",,,,,,"19990330",100000
"016","000","0100001",,,,"Geruch",,,,,,"19990330",100001
"016","000","0100002",,,,"Aussehen",,,,,,"19990330",100002
"016","000","0100003",,,,"Geschmack",,,,,,"19990330",100003
"016","000","0100004",,,,"Gefüge Konsistenz",,,,,,"20041201",100004
"016","000","0100005",,,,"Geruchsschwellenwert",,,,,,"19990330",100005
"016","000","0100006",,,,"Geruchsschwellenwert bei 12 Grad",,,,,,"20041201",100006
"016","000","0100007",,,,"Geruchsschwellenwert bei 25 Grad",,,,,,"20041201",100007
"016","000","0200000",,,,"Anzeigepflichtige Tierseuchen und meldepflichtige Tierkrankheiten sowie","fleisch- und geflügelfleischhygienische Befunde",,,,,"19990330",200000
"016","000","0210000",,,,"Anzeigepflichtige Seuchen",,,,,,"19990330",210000
"016","000","0210001",,,,"Afrikanische Pferdepest",,,,,,"19990330",210001
"016","000","0210002",,,,"Afrikanische Schweinepest",,,,,,"19990330",210002
"016","000","0210003",,,,"Ansteckende Blutarmut der Einhufer",,,,,,"19990330",210003
"016","000","0210004",,,,"Ansteckende Schweinelähmung Teschener Krankheit",,,,,,"19990330",210004
"016","000","0210005",,,,"Aujeszky'sche Krankheit",,,,,,"19990330",210005
"016","000","0210006",,,,"Ansteckende Blutarmut der Salmoniden",,,,,,"20001124",210006
"016","000","0210020",,,,"Beschälseuche der Pferde",,,,,,"19990330",210020
"016","000","0210021",,,,"Blauzungenkrankheit",,,,,,"19990330",210021
"016","000","0210023",,,,"Bösartige (amerikanische) Faulbrut der Bienen",,,,,,"20001124",210023
"016","000","0210024",,,,"Bovine Herpesvirus Typ 1-Infektion (alle Formen)",,,,,,"19990330",210024
"016","000","0210025",,,,"Brucellose der Rinder Schweine Schafe und Ziegen",,,,,,"20041201",210025
"016","000","0210080",,,,"Enzootische Leukose der Rinder",,,,,,"19990330",210080
"016","000","0210081",,,,"Enzootische Hämorrhagie der Hirsche",,,,,,"20001124",210081
"016","000","0210120",,,,"Geflügelpest klassische Geflügelinfluenza",,,,,,"20041201",210120
"016","000","0210160",,,,"Infektiöse Hämatopoetische Nekrose der Salmoniden IHN",,,,,,"19990330",210160
"016","000","0210221",,,,"Lungenseuche der Rinder",,,,,,"19990330",210221
"016","000","0210240",,,,"Maul- und Klauenseuche MKS",,,,,,"19990330",210240
"016","000","0210242",,,,"Milzbrand",,,,,,"19990330",210242
"016","000","0210260",,,,"Newcastle-Krankheit ND",,,,,,"19990330",210260
"016","000","0210300",,,,"Pest der kleinen Wiederkäuer",,,,,,"19990330",210300
"016","000","0210301",,,,"Pockenseuche der Schafe und Ziegen",,,,,,"19990330",210301
"016","000","0210302",,,,"Psittakose",,,,,,"19990330",210302
"016","000","0210303",,,,"Pferdeenzephalomyelitis",,,,,,"20001124",210303
"016","000","0210340",,,,"Rauschbrand",,,,,,"19990330",210340
"016","000","0210341",,,,"Rifttal-Fieber",,,,,,"19990330",210341
"016","000","0210342",,,,"Rinderpest",,,,,,"19990330",210342
"016","000","0210343",,,,"Rotz",,,,,,"19990330",210343
"016","000","0210360",,,,"Salmonellose der Rinder",,,,,,"19990330",210360
"016","000","0210361",,,,"Schweinepest",,,,,,"20001124",210361
"016","000","0210363",,,,"Stomatitis vesicularis",,,,,,"19990330",210363
"016","000","0210380",,,,"Tollwut",,,,,,"19990330",210380
"016","000","0210381",,,,"Transmissible Spongioforme Enzephalopathie (TSE)",,,,,,"20001124",210381
"016","000","0210382",,,,"Trichomonadenseuche der Rinder",,,,,,"19990330",210382
"016","000","0210383",,,,"Tuberkulose der Rinder",,,,,,"19990330",210383
"016","000","0210420",,,,"Vesikuläre Schweinekrankheit",,,,,,"19990330",210420
"016","000","0210421",,,,"Vibrionenseuche der Rinder",,,,,,"19990330",210421
"016","000","0210422",,,,"Virale Hämorrhagische Septikämie der Salmoniden VHS",,,,,,"19990330",210422
"016","000","0220000",,,,"Meldepflichtige Krankheiten",,,,,,"19990330",220000
"016","000","0220001",,,,"Ansteckende Gehirn-Rückenmarkentzündung der Einhufer Bornasche Krankheit",,,,,,"19990330",220001
"016","000","0220002",,,,"Ansteckende Metritis des Pferdes CEM",,,,,,"19990330",220002
"016","000","0220021",,,,"Bovine Virusdiarrhoe oder Mucosal Disease BVD oder MD",,,,,,"19990330",220021
"016","000","0220040",,,,"Chlamydienabort des Schafes",,,,,,"19990330",220040
"016","000","0220080",,,,"Ecthyma contagiosum (Parapoxinfektion)",,,,,,"19990330",220080
"016","000","0220081",,,,"Equine Virus-Arteritis-Infektion",,,,,,"19990330",220081
"016","000","0220082",,,,"Euterpocken des Rindes (Parapoxinfektion)",,,,,,"19990330",220082
"016","000","0220100",,,,"Frühlingsvirämie der Karpfen SVC",,,,,,"19990330",220100
"016","000","0220120",,,,"Gumboro-Krankheit IBD",,,,,,"19990330",220120
"016","000","0220161",,,,"Infektiöse Laryngotracheitis des Geflügels ILT",,,,,,"19990330",220161
"016","000","0220162",,,,"Infektiöse Pankreasnekrose der Forellen und forellenartigen Fische IPN",,,,,,"19990330",220162
"016","000","0220220",,,,"Leptospirose",,,,,,"19990330",220220
"016","000","0220221",,,,"Listeriose",,,,,,"19990330",220221
"016","000","0220240",,,,"Maedi",,,,,,"19990330",220240
"016","000","0220241",,,,"Mareksche Krankheit (akute Form)",,,,,,"19990330",220241
"016","000","0220280",,,,"Ornithose (außer Psittakose)",,,,,,"19990330",220280
"016","000","0220300",,,,"Paratuberkulose des Rindes",,,,,,"19990330",220300
"016","000","0220320",,,,"Q-Fieber",,,,,,"19990330",220320
"016","000","0220340",,,,"Rhinitis atrophicans",,,,,,"19990330",220340
"016","000","0220360",,,,"Säugerpocken Orthopoxinfektion",,,,,,"19990330",220360
