"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV3_Doppelt","ADV3dup_ADV2a","ADV3dup_ADV2b","ADV3dup_Text_a","ADV3dup_Text_b","ADV3_Int"
"003","01","010200",,,,"Milch bearbeitete auch eiweißangereicherte",,,,,"Milch und Milchprodukte","19990330","x","001","015","Milch bearbeitete auch eiweißangereicherte","Mastschweine; Tränkwasser","10200"
"003","15","010200",,,,"Mastschweine; Tränkwasser",,,,,,"20041201","x","001","015","Milch bearbeitete auch eiweißangereicherte","Mastschweine; Tränkwasser","10200"
"003","01","010300",,,,"Milch anderer Tiere unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090609","x","001","015","Milch anderer Tiere unbearbeitete/Rohmilch","Mastschweine; Futtermittel","10300"
"003","15","010300",,,,"Mastschweine; Futtermittel",,,,,,"20041201","x","001","015","Milch anderer Tiere unbearbeitete/Rohmilch","Mastschweine; Futtermittel","10300"
"003","01","010301",,,,"Stutenmilch unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090608","x","001","015","Stutenmilch unbearbeitete/Rohmilch","Mastschweine; Grünfutter","10301"
"003","15","010301",,,,"Mastschweine; Grünfutter",,,,,,"20041201","x","001","015","Stutenmilch unbearbeitete/Rohmilch","Mastschweine; Grünfutter","10301"
"003","01","010302",,,,"Büffelmilch unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090608","x","001","015","Büffelmilch unbearbeitete/Rohmilch","Mastschweine; Silagen","10302"
"003","15","010302",,,,"Mastschweine; Silagen",,,,,,"20041201","x","001","015","Büffelmilch unbearbeitete/Rohmilch","Mastschweine; Silagen","10302"
"003","01","010303",,,,"Eselmilch unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090608","x","001","015","Eselmilch unbearbeitete/Rohmilch","Mastschweine; Heu, Cobs, Stroh","10303"
"003","15","010303",,,,"Mastschweine; Heu, Cobs, Stroh",,,,,,"20041201","x","001","015","Eselmilch unbearbeitete/Rohmilch","Mastschweine; Heu, Cobs, Stroh","10303"
"003","01","010304",,,,"Ziegenmilch unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090608","x","001","015","Ziegenmilch unbearbeitete/Rohmilch","Mastschweine; Getreide","10304"
"003","15","010304",,,,"Mastschweine; Getreide",,,,,,"20041201","x","001","015","Ziegenmilch unbearbeitete/Rohmilch","Mastschweine; Getreide","10304"
"003","01","010305",,,,"Schafmilch unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090608","x","001","015","Schafmilch unbearbeitete/Rohmilch","Mastschweine; Tiermehl","10305"
"003","15","010305",,,,"Mastschweine; Tiermehl",,,,,,"20041201","x","001","015","Schafmilch unbearbeitete/Rohmilch","Mastschweine; Tiermehl","10305"
"003","01","010306",,,,"Kamelmilch unbearbeitete/Rohmilch",,,,,"Milch und Milchprodukte","20090608","x","001","015","Kamelmilch unbearbeitete/Rohmilch","Mastschweine; Kraftfuttermischungen","10306"
"003","15","010306",,,,"Mastschweine; Kraftfuttermischungen",,,,,,"20041201","x","001","015","Kamelmilch unbearbeitete/Rohmilch","Mastschweine; Kraftfuttermischungen","10306"
"003","01","020200",,,,"Joghurterzeugnisse auch eiweißangereicherte",,,,,"Milch und Milchprodukte","19990330","x","001","015","Joghurterzeugnisse auch eiweißangereicherte","Schafe Mastlämmer; Tränkwasser","20200"
"003","15","020200",,,,"Schafe Mastlämmer; Tränkwasser",,,,,,"20041201","x","001","015","Joghurterzeugnisse auch eiweißangereicherte","Schafe Mastlämmer; Tränkwasser","20200"
"003","01","020300",,,,"Kefirerzeugnisse auch eiweißangereicherte",,,,,"Milch und Milchprodukte","19990330","x","001","015","Kefirerzeugnisse auch eiweißangereicherte","Schafe Mastlämmer; Futtermittel","20300"
"003","15","020300",,,,"Schafe Mastlämmer; Futtermittel",,,,,,"20041201","x","001","015","Kefirerzeugnisse auch eiweißangereicherte","Schafe Mastlämmer; Futtermittel","20300"
"003","01","020301",,,,"Kefir",,,,,"Milch und Milchprodukte","19990330","x","001","015","Kefir","Schafe Mastlämmer; Grünfutter","20301"
"003","15","020301",,,,"Schafe Mastlämmer; Grünfutter",,,,,,"20041201","x","001","015","Kefir","Schafe Mastlämmer; Grünfutter","20301"
"003","01","020302",,,,"Kefir aus entrahmter Milch",,,,,"Milch und Milchprodukte","19990330","x","001","015","Kefir aus entrahmter Milch","Schafe Mastlämmer; Silagen","20302"
"003","15","020302",,,,"Schafe Mastlämmer; Silagen",,,,,,"20041201","x","001","015","Kefir aus entrahmter Milch","Schafe Mastlämmer; Silagen","20302"
"003","01","020303",,,,"Kefir fettarm",,,,,"Milch und Milchprodukte","19990330","x","001","015","Kefir fettarm","Schafe Mastlämmer; Heu, Cobs, Stroh","20303"
