"Kodiersystem","BW_Matrix_Oberbegriff_Text","Kode","Text1","BW_Matrix_Code_Links","BW_Matrix_Text1","BW_Matrix_Text_voll","Katalog","ADV3_Int"
"01","LFGB-Probe","AHT_1","Fledermaus","AHT","andere heimische Tiere","Fledermaus; andere heimische Tiere","BW03","AHT_1"
"01","LFGB-Probe","AHT_2","Igel","AHT","andere heimische Tiere","Igel; andere heimische Tiere","BW03","AHT_2"
"01","LFGB-Probe","AHT_3","Maulwurf","AHT","andere heimische Tiere","Maulwurf; andere heimische Tiere","BW03","AHT_3"
"01","LFGB-Probe","AHT_4","Maus","AHT","andere heimische Tiere","Maus; andere heimische Tiere","BW03","AHT_4"
"01","LFGB-Probe","AHT_5","Ratte","AHT","andere heimische Tiere","Ratte; andere heimische Tiere","BW03","AHT_5"
"01","LFGB-Probe","AHT_6","Siebenschläfer","AHT","andere heimische Tiere","Siebenschläfer; andere heimische Tiere","BW03","AHT_6"
"01","LFGB-Probe","ALF000","verschiedene","ALF","Alleinfuttermittel","verschiedene; Alleinfuttermittel","BW03","ALF000"
"01","LFGB-Probe","ALF001","Kälber","ALF","Alleinfuttermittel","Kälber; Alleinfuttermittel","BW03","ALF001"
"01","LFGB-Probe","ALF003","Mastrinder","ALF","Alleinfuttermittel","Mastrinder; Alleinfuttermittel","BW03","ALF003"
"01","LFGB-Probe","ALF004","Milchkühe","ALF","Alleinfuttermittel","Milchkühe; Alleinfuttermittel","BW03","ALF004"
"01","LFGB-Probe","ALF009","Rinder","ALF","Alleinfuttermittel","Rinder; Alleinfuttermittel","BW03","ALF009"
"01","LFGB-Probe","ALF010","Mastschwein","ALF","Alleinfuttermittel","Mastschwein; Alleinfuttermittel","BW03","ALF010"
"01","LFGB-Probe","ALF011","Ferkel","ALF","Alleinfuttermittel","Ferkel; Alleinfuttermittel","BW03","ALF011"
"01","LFGB-Probe","ALF012","Zuchtsauen","ALF","Alleinfuttermittel","Zuchtsauen; Alleinfuttermittel","BW03","ALF012"
"01","LFGB-Probe","ALF013","Sauen (tragend)","ALF","Alleinfuttermittel","Sauen (tragend); Alleinfuttermittel","BW03","ALF013"
"01","LFGB-Probe","ALF014","Sauen (säugend)","ALF","Alleinfuttermittel","Sauen (säugend); Alleinfuttermittel","BW03","ALF014"
"01","LFGB-Probe","ALF019","Schweine","ALF","Alleinfuttermittel","Schweine; Alleinfuttermittel","BW03","ALF019"
"01","LFGB-Probe","ALF020","Lämmer","ALF","Alleinfuttermittel","Lämmer; Alleinfuttermittel","BW03","ALF020"
"01","LFGB-Probe","ALF029","Schafe","ALF","Alleinfuttermittel","Schafe; Alleinfuttermittel","BW03","ALF029"
"01","LFGB-Probe","ALF039","Pferde","ALF","Alleinfuttermittel","Pferde; Alleinfuttermittel","BW03","ALF039"
"01","LFGB-Probe","ALF100","Legehennen","ALF","Alleinfuttermittel","Legehennen; Alleinfuttermittel","BW03","ALF100"
"01","LFGB-Probe","ALF101","Hähnchen","ALF","Alleinfuttermittel","Hähnchen; Alleinfuttermittel","BW03","ALF101"
"01","LFGB-Probe","ALF102","Truthühner","ALF","Alleinfuttermittel","Truthühner; Alleinfuttermittel","BW03","ALF102"
"01","LFGB-Probe","ALF103","Mastenten","ALF","Alleinfuttermittel","Mastenten; Alleinfuttermittel","BW03","ALF103"
"01","LFGB-Probe","ALF107","Tauben","ALF","Alleinfuttermittel","Tauben; Alleinfuttermittel","BW03","ALF107"
"01","LFGB-Probe","ALF111","Hühnerküken","ALF","Alleinfuttermittel","Hühnerküken; Alleinfuttermittel","BW03","ALF111"
"01","LFGB-Probe","ALF112","Truthuhnküken","ALF","Alleinfuttermittel","Truthuhnküken; Alleinfuttermittel","BW03","ALF112"
"01","LFGB-Probe","ALF113","Entenküken","ALF","Alleinfuttermittel","Entenküken; Alleinfuttermittel","BW03","ALF113"
"01","LFGB-Probe","ALF199","Geflügel","ALF","Alleinfuttermittel","Geflügel; Alleinfuttermittel","BW03","ALF199"
"01","LFGB-Probe","ALF200","Forelle","ALF","Alleinfuttermittel","Forelle; Alleinfuttermittel","BW03","ALF200"
"01","LFGB-Probe","ALF299","Fische","ALF","Alleinfuttermittel","Fische; Alleinfuttermittel","BW03","ALF299"
