"ADV-Text1","Erreger","NRL"
"Gruppe fakultativ anaerober gramnegativer Stäbchen",,
"Genus Escherichia","Escherichia","NRL-AR"
"Escherichia coli","Escherichia coli","NRL-AR"
"Escherichia coli Toxinbildner","Escherichia coli","NRL-VTEC"
"Escherichia coli mit eae - Gen","Escherichia coli","NRL-VTEC"
"Escherichia coli O157:H7","Escherichia coli","NRL-VTEC"
"Escherichia coli O157","Escherichia coli","NRL-VTEC"
"Escherichia coli Stx I-Toxinbildner","Escherichia coli","NRL-VTEC"
"Escherichia coli Stx II-Toxinbildner","Escherichia coli","NRL-VTEC"
"Escherichia coli Verotoxinbildende","Escherichia coli","NRL-VTEC"
"Escherichia coli O104","Escherichia coli","NRL-VTEC"
"Escherichia coli O104:H4","Escherichia coli","NRL-VTEC"
"Escherichia coli ESBL-bildend","Escherichia coli","NRL-AR"
"Escherichia coli AmpC-bildend","Escherichia coli","NRL-AR"
"Escherichia coli ESBL/AmpC-bildend","Escherichia coli","NRL-AR"
"Escherichia coli Carbapenemase-bildend","Escherichia coli","NRL-AR"
"Genus Shigella","Shigella",
"Shigella dysenteriae","Shigella",
"Shigella flexneri","Shigella",
"Shigella boydii","Shigella",
"Shigella sonnei","Shigella",
"Genus Salmonella","Salmonella","NRL-Salm"
"Salmonella I-Rauhform","Salmonella I-Rauhform","NRL-Salm"
"Salmonella Typhi","Salmonella Typhi","NRL-Salm"
"Salmonella Paratyphi A","Salmonella Paratyphi","NRL-Salm"
"Salmonella Paratyphi B","Salmonella Paratyphi","NRL-Salm"
"Salmonella Typhimurium","Salmonella Typhimurium","NRL-Salm"
"Salmonella Indiana","Salmonella Indiana","NRL-Salm"
"Salmonella Saintpaul O:5-","Salmonella Saintpaul","NRL-Salm"
"Salmonella Heidelberg","Salmonella Heidelberg","NRL-Salm"
"Salmonella Agona","Salmonella Agona","NRL-Salm"
"Salmonella Schwarzengrund","Salmonella Schwarzengrund","NRL-Salm"
"Salmonella Bredeney","Salmonella Bredeney","NRL-Salm"
"Salmonella Typhimurium O:5-; Salmonella Typhimurium var. Copenhagen","Salmonella Typhimurium","NRL-Salm"
"Salmonella Duisburg","Salmonella Duisburg","NRL-Salm"
"Salmonella Eppendorf","Salmonella Eppendorf","NRL-Salm"
"Salmonella Reading","Salmonella Reading","NRL-Salm"
"Salmonella Chester","Salmonella Chester","NRL-Salm"
"Salmonella Derby","Salmonella Derby","NRL-Salm"
"Salmonella Essen","Salmonella Essen","NRL-Salm"
"Salmonella Brandenburg","Salmonella Brandenburg","NRL-Salm"
"Salmonella Stanleyville","Salmonella Stanleyville","NRL-Salm"
"Salmonella Paratyphi B dT+; Salmonella Paratyphi B var. Java","Salmonella Paratyphi","NRL-Salm"
"Salmonella Mons","Salmonella Mons","NRL-Salm"
"Salmonella Anatum 15+; Salmonella Newington","Salmonella Anatum","NRL-Salm"
"Salmonella - Antikörper","Salmonella -","NRL-Salm"
"Salmonella Abony","Salmonella Abony","NRL-Salm"
"Salmonella Bispebjerg","Salmonella Bispebjerg","NRL-Salm"
"Salmonella Typhimurium monophasisch 1,4,[5],12:i:-","Salmonella Typhimurium","NRL-Salm"
"Salmonella Infantis","Salmonella Infantis","NRL-Salm"
"Salmonella Ohio","Salmonella Ohio","NRL-Salm"
"Salmonella Virchow","Salmonella Virchow","NRL-Salm"
"Salmonella Livingstone","Salmonella Livingstone","NRL-Salm"
"Salmonella Montevideo","Salmonella Montevideo","NRL-Salm"
"Salmonella Oslo","Salmonella Oslo","NRL-Salm"
"Salmonella Choleraesuis","Salmonella Choleraesuis","NRL-Salm"
"Salmonella Isangi","Salmonella Isangi","NRL-Salm"
"Salmonella Kivu","Salmonella Kivu","NRL-Salm"
"Salmonella Nieukerk","Salmonella Nieukerk","NRL-Salm"
"Salmonella Rissen","Salmonella Rissen","NRL-Salm"
"Salmonella Oranienburg","Salmonella Oranienburg","NRL-Salm"
"Salmonella Thompson","Salmonella Thompson","NRL-Salm"
"Salmonella Colorado","Salmonella Colorado","NRL-Salm"
"Salmonella Bareilly","Salmonella Bareilly","NRL-Salm"
"Salmonella Muenchen","Salmonella Muenchen","NRL-Salm"
"Salmonella Manhattan","Salmonella Manhattan","NRL-Salm"
"Salmonella Emek","Salmonella Emek","NRL-Salm"
"Salmonella Blockley","Salmonella Blockley","NRL-Salm"
"Salmonella Bovismorbificans","Salmonella Bovismorbificans","NRL-Salm"
"Salmonella Goldcoast","Salmonella Goldcoast","NRL-Salm"
"Salmonella Mbandaka","Salmonella Mbandaka","NRL-Salm"
"Salmonella Braenderup","Salmonella Braenderup","NRL-Salm"
"Salmonella Tennessee","Salmonella Tennessee","NRL-Salm"
"Salmonella Colindale","Salmonella Colindale","NRL-Salm"
"Salmonella Larochelle","Salmonella Larochelle","NRL-Salm"
"Salmonella -Gruppe C2-C3-O-FORM","Salmonella -Gruppe","NRL-Salm"
"Salmonella Hadar","Salmonella Hadar","NRL-Salm"
"Salmonella Newport","Salmonella Newport","NRL-Salm"
"Salmonella Litchfield","Salmonella Litchfield","NRL-Salm"
"Salmonella Albany","Salmonella Albany","NRL-Salm"
"Salmonella Kentucky","Salmonella Kentucky","NRL-Salm"
"Salmonella Istanbul","Salmonella Istanbul","NRL-Salm"
"Salmonella Altona","Salmonella Altona","NRL-Salm"
"Salmonella Bardo","Salmonella Bardo","NRL-Salm"
"Salmonella Kottbus","Salmonella Kottbus","NRL-Salm"
"Salmonella Enteritidis","Salmonella Enteritidis","NRL-Salm"
"Salmonella Dublin","Salmonella Dublin","NRL-Salm"
"Salmonella Gallinarum-Pullorum","Salmonella Gallinarum-Pullorum","NRL-Salm"
"Salmonella Panama","Salmonella Panama","NRL-Salm"
"Salmonella Lome","Salmonella Lome","NRL-Salm"
"Salmonella Victoria","Salmonella Victoria","NRL-Salm"
"Salmonella Seremban","Salmonella Seremban","NRL-Salm"
"Salmonella Javiana","Salmonella Javiana","NRL-Salm"
"Salmonella Pensacola","Salmonella Pensacola","NRL-Salm"
"Salmonella Anatum","Salmonella Anatum","NRL-Salm"
"Salmonella Muenster","Salmonella Muenster","NRL-Salm"
"Salmonella London","Salmonella London","NRL-Salm"
"Salmonella Give","Salmonella Give","NRL-Salm"
"Salmonella Stockholm","Salmonella Stockholm","NRL-Salm"
"Salmonella Falkensee","Salmonella Falkensee","NRL-Salm"
