"osm_id","ort","plz","bundesland","PLZ_Int"
1104550,"Aach","78267","Baden-Württemberg",78267
1255910,"Aach","54298","Rheinland-Pfalz",54298
62564,"Aachen","52062","Nordrhein-Westfalen",52062
62564,"Aachen","52064","Nordrhein-Westfalen",52064
62564,"Aachen","52066","Nordrhein-Westfalen",52066
62564,"Aachen","52068","Nordrhein-Westfalen",52068
62564,"Aachen","52070","Nordrhein-Westfalen",52070
62564,"Aachen","52072","Nordrhein-Westfalen",52072
62564,"Aachen","52074","Nordrhein-Westfalen",52074
62564,"Aachen","52076","Nordrhein-Westfalen",52076
62564,"Aachen","52078","Nordrhein-Westfalen",52078
62564,"Aachen","52080","Nordrhein-Westfalen",52080
915486,"Aalen","73430","Baden-Württemberg",73430
915486,"Aalen","73431","Baden-Württemberg",73431
915486,"Aalen","73432","Baden-Württemberg",73432
915486,"Aalen","73433","Baden-Württemberg",73433
915486,"Aalen","73434","Baden-Württemberg",73434
413109,"Aarbergen","65326","Hessen",65326
448770,"Aasbüttel","25560","Schleswig-Holstein",25560
158409,"Abenberg","91183","Bayern",91183
956651,"Abensberg","93326","Bayern",93326
1244276,"Abentheuer","55767","Rheinland-Pfalz",55767
1015097,"Absberg","91720","Bayern",91720
410485,"Abstatt","74232","Baden-Württemberg",74232
2389084,"Abtsbessingen","99713","Thüringen",99713
915445,"Abtsgmünd","73453","Baden-Württemberg",73453
537061,"Abtsteinach","69518","Hessen",69518
283691,"Abtswind","97355","Bayern",97355
1244067,"Abtweiler","55568","Rheinland-Pfalz",55568
2806596,"Achberg","88147","Baden-Württemberg",88147
452972,"Achern","77855","Baden-Württemberg",77855
1182036,"Achim","28832","Niedersachsen",28832
959175,"Achslach","94250","Bayern",94250
2801019,"Achstetten","88480","Baden-Württemberg",88480
548033,"Acht","56729","Rheinland-Pfalz",56729
1246405,"Achtelsbach","55767","Rheinland-Pfalz",55767
548502,"Achterwehr","24239","Schleswig-Holstein",24239
1417214,"Achtrup","25917","Schleswig-Holstein",25917
2825844,"Adelberg","73099","Baden-Württemberg",73099
1399100,"Adelebsen","37139","Niedersachsen",37139
1796300,"Adelheidsdorf","29352","Niedersachsen",29352
915446,"Adelmannsfelden","73486","Baden-Württemberg",73486
943553,"Adelschlag","85111","Bayern",85111
1016518,"Adelsdorf","91325","Bayern",91325
403733,"Adelsheim","74740","Baden-Württemberg",74740
534077,"Adelshofen","91587","Bayern",91587
933549,"Adelshofen","82276","Bayern",82276
452562,"Adelsried","86477","Bayern",86477
163655,"Adelzhausen","86559","Bayern",86559
1060416,"Adenau","53518","Rheinland-Pfalz",53518
1246784,"Adenbach","67742","Rheinland-Pfalz",67742
1363679,"Adenbüttel","38528","Niedersachsen",38528
1392133,"Adendorf","21365","Niedersachsen",21365
191347,"Adlkofen","84166","Bayern",84166
391131,"Admannshagen-Bargeshagen","18211","Mecklenburg-Vorpommern",18211
443610,"Adorf","08626","Sachsen",8626
448016,"Aebtissinwisch","25572","Schleswig-Holstein",25572
