"ADV8-Kode","ADV8-Text1","Kodiersystem","ADV3-Kode","ADV3-Text1","Programm","Tierart","Matrix","Probenahmeort","Erreger","JAHR","Matrix-B","ADV8_1digit"
"1000000","Erzeuger (Urproduktion)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","SA",2017,"TNShMsKo",1
"1000000","Erzeuger (Urproduktion)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","EC",2017,"TNShMsKo",1
"1000000","Erzeuger (Urproduktion)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","ESBL",2017,"TNShMsKo",1
"1000000","Erzeuger (Urproduktion)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","CA",2017,"TNShMsKo",1
"1000000","Erzeuger (Urproduktion)","15","010402","Mastschweine; Boden","EB4","Mastschwein","Sockentupfer","Erzeugerbetrieb","MRSA",2017,"TNShMsSt",1
"1000000","Erzeuger (Urproduktion)","15","502011","Rehe; Kot","WI9","Rehwild","Kot","Wildtiere","CA",2017,"TeWReKo",1
"1000000","Erzeuger (Urproduktion)","15","502011","Rehe; Kot","WI9","Rehwild","Kot","Wildtiere","VTEC",2017,"TeWReKo",1
"1000000","Erzeuger (Urproduktion)","15","502011","Rehe; Kot","WI9","Rehwild","Kot","Wildtiere","EC",2017,"TeWReKo",1
"1000000","Erzeuger (Urproduktion)","15","502011","Rehe; Kot","WI9","Rehwild","Kot","Wildtiere","ESBL",2017,"TeWReKo",1
"1010000","Erzeuger von Lebensmitteln tierischer Herkunft (ohne 1020000)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","SA",2017,"TNShMsKo",1
"1010000","Erzeuger von Lebensmitteln tierischer Herkunft (ohne 1020000)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","EC",2017,"TNShMsKo",1
"1010000","Erzeuger von Lebensmitteln tierischer Herkunft (ohne 1020000)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","ESBL",2017,"TNShMsKo",1
"1010000","Erzeuger von Lebensmitteln tierischer Herkunft (ohne 1020000)","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","CA",2017,"TNShMsKo",1
"1010000","Erzeuger von Lebensmitteln tierischer Herkunft (ohne 1020000)","15","010402","Mastschweine; Boden","EB4","Mastschwein","Sockentupfer","Erzeugerbetrieb","MRSA",2017,"TNShMsSt",1
"1010100","Rinderhalter","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","SA",2017,"TNShMsKo",1
"1010100","Rinderhalter","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","EC",2017,"TNShMsKo",1
"1010100","Rinderhalter","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","ESBL",2017,"TNShMsKo",1
"1010100","Rinderhalter","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","CA",2017,"TNShMsKo",1
"1010100","Rinderhalter","15","010402","Mastschweine; Boden","EB4","Mastschwein","Sockentupfer","Erzeugerbetrieb","MRSA",2017,"TNShMsSt",1
"1010110","Milcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","SA",2017,"TNShMsKo",1
"1010110","Milcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","EC",2017,"TNShMsKo",1
"1010110","Milcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","ESBL",2017,"TNShMsKo",1
"1010110","Milcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","CA",2017,"TNShMsKo",1
"1010110","Milcherzeuger","15","010402","Mastschweine; Boden","EB4","Mastschwein","Sockentupfer","Erzeugerbetrieb","MRSA",2017,"TNShMsSt",1
"1010111","Vorzugsmilcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","SA",2017,"TNShMsKo",1
"1010111","Vorzugsmilcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","EC",2017,"TNShMsKo",1
"1010111","Vorzugsmilcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","ESBL",2017,"TNShMsKo",1
"1010111","Vorzugsmilcherzeuger","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","CA",2017,"TNShMsKo",1
"1010111","Vorzugsmilcherzeuger","15","010402","Mastschweine; Boden","EB4","Mastschwein","Sockentupfer","Erzeugerbetrieb","MRSA",2017,"TNShMsSt",1
"1010112","Erzeuger von bovinem Kolostrum","15","010011","Mastschweine; Kot","EB4","Mastschwein","Kot","Erzeugerbetrieb","SA",2017,"TNShMsKo",1
