"ADV8-Kode","Kodiersystem","ADV3-Kode","ADV3-Text1","Programm","JAHR","Matrix-B","ADV8_1digit"
"1000000","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1000000","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1000000","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1000000","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010000","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010000","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010000","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010000","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010100","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010100","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010100","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010100","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010110","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010110","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010110","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010110","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010111","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010111","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010111","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010111","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010112","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010112","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010112","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010112","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010120","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010120","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010120","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010120","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010130","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010130","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010130","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010130","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010140","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010140","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010140","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010140","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010200","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010200","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010200","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010200","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010210","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010210","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010210","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010210","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010220","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010220","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010220","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010220","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010230","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010230","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010230","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010230","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010300","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010300","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010300","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010300","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010310","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010310","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010310","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010310","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010400","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010400","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010400","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010400","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010410","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010410","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010410","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010410","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010500","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010500","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010500","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010500","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010510","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
"1010510","15","102011","Truthühner; Kot","EB3b",2018,"TNGPuKo",1
"1010510","15","102404","Truthühner; Staub aus Tierhaltung","EB3a",2018,"TNGPuSt",1
"1010510","15","102404","Truthühner; Staub aus Tierhaltung","EB3b",2018,"TNGPuSt",1
"1010600","15","102011","Truthühner; Kot","EB3a",2018,"TNGPuKo",1
